Продукт,Калорийность,Белки,Жиры,Углеводы,Категория
"Кольраби, тушенная с морковью","65,6 кКал","3,5 г","4,1 г","3,9 г",вторые блюда
Корнетики с муссом ветчины,"287,1 кКал","18,5 г","23,3 г","0,9 г",вторые блюда
"Котлета ""Аленушкина загадка""",263 кКал,"8,8 г","24,8 г","1,3 г",вторые блюда
Котлетки по-приморски,"151,9 кКал",13 г,"8,8 г","5,6 г",вторые блюда
Котлеты,"227,4 кКал","10,1 г","19,4 г","3,3 г",вторые блюда
"Котлеты ""Централь""","203,1 кКал","10,9 г","15,5 г","5,4 г",вторые блюда
Котлеты гороховые,236 кКал,"13,3 г","10,4 г","23,7 г",вторые блюда
Котлеты из брюквы,"99,3 кКал","3,1 г","5,6 г","9,6 г",вторые блюда
Котлеты из кабачков с творогом,"122,5 кКал",5 г,"7,9 г","8,3 г",вторые блюда
Котлеты из овощей,"187,6 кКал","3,3 г","13,3 г","14,5 г",вторые блюда
Котлеты из свинины по-сарански (мордовское национальное блюдо),"571,6 кКал","14,2 г","52,9 г","10,4 г",вторые блюда
"Котлеты из филе птицы или дичи, панированные жареные","403,7 кКал","25,1 г","20,4 г",32 г,вторые блюда
Котлеты или биточки рыбные,"168,1 кКал","8,1 г","8,4 г","16,1 г",вторые блюда
Котлеты капустно-морковные,198 кКал,"4,5 г","14,1 г","14,2 г",вторые блюда
Котлеты капустные,191 кКал,"4,9 г","13,8 г","12,7 г",вторые блюда
Котлеты картофельные,"189,2 кКал","3,7 г","12,9 г","15,6 г",вторые блюда
Котлеты морковные,"206,2 кКал","4,1 г","14,5 г","15,9 г",вторые блюда
Котлеты мясо-картофельные по-хлыновски,"342,9 кКал","20,8 г","26,1 г","6,7 г",вторые блюда
Котлеты натуральные,"438,2 кКал",29 г,"35,8 г","0,04 г",вторые блюда
Котлеты натуральные из филе птицы или дичи под соусом паровым с грибами,"312,2 кКал","13,3 г",16 г,"30,6 г",вторые блюда
"Котлеты натуральные из филе птицы, дичи или кролика с гарниром","301,7 кКал","11,7 г","22,8 г","13,1 г",вторые блюда
Котлеты натуральные паровые,"209,8 кКал","8,8 г","19,4 г","0,008 г",вторые блюда
Котлеты натуральные рубленые,"490,5 кКал",23 г,"44,3 г",0 г,вторые блюда
Котлеты отбивные,"505,2 кКал","18,2 г","43,5 г","10,7 г",вторые блюда
Котлеты по-гречески,"178,1 кКал","6,4 г","6,7 г","24,6 г",вторые блюда
Котлеты по-киевски,"444,7 кКал","21,6 г","27,8 г","28,8 г",вторые блюда
Котлеты полтавские (украинское национальное блюдо),"465,7 кКал","27,8 г","36,7 г","6,3 г",вторые блюда
"Котлеты рубленые из кур, кролика, запеченные с соусом молочным","301,8 кКал","17,7 г","15,8 г","23,7 г",вторые блюда
"Котлеты рубленые из птицы, дичи или кролика с гарниром","328,4 кКал","12,3 г","12,9 г","43,6 г",вторые блюда
"Котлеты рубленые, запеченные с молочным соусом","285,3 кКал","16,2 г",21 г,"8,4 г",вторые блюда
Котлеты рыбные любительские,"148,2 кКал","10,5 г","8,5 г",8 г,вторые блюда
Котлеты рыбные с капустой и морковью,"288,7 кКал","20,8 г","20,9 г","4,6 г",вторые блюда
Котлеты рыбные с омлетом и сыром,"322,6 кКал",15 г,"26,2 г","7,3 г",вторые блюда
Котлеты свекольные,"153,5 кКал","3,8 г",9 г,"15,2 г",вторые блюда
"Котлеты, биточки из рыбы и пасты ""Океан""",362 кКал,"11,7 г",10 г,"59,9 г",вторые блюда
"Котлеты, биточки, шницели","317,7 кКал","21,3 г","20,9 г","11,8 г",вторые блюда
Крабы с яйцом,"251,2 кКал","16,7 г","19,9 г","1,3 г",вторые блюда
Красная капуста,73 кКал,"1,1 г","5,2 г","5,9 г",вторые блюда
"Краснокочанная капуста, тушенная с яблоками","44,1 кКал","0,6 г",1 г,"8,7 г",вторые блюда
Креветки с соусом,"211,3 кКал","26,5 г","7,5 г","10,1 г",вторые блюда
"Креветки, запеченные под сметанным или молочным соусом","175,7 кКал","15,1 г","7,8 г","11,9 г",вторые блюда
Крокеты картофельные,"187,3 кКал","4,2 г",13 г,"14,2 г",вторые блюда
Крокеты картофельные,"207,5 кКал","4,3 г","13,6 г","18,2 г",вторые блюда
Крокеты картофельные,"239,7 кКал","4,3 г","20,2 г","10,9 г",вторые блюда
Кролик в маринаде,"194,5 кКал","15,7 г","11,5 г","7,6 г",вторые блюда
Кролик по-любительски,455 кКал,"15,4 г",26 г,"42,3 г",вторые блюда
Кролик под ореховым соусом,"205,4 кКал","8,1 г","17,1 г","5,2 г",вторые блюда
Курзе с зеленью (пельмени с фаршем из зелени - дагестанское национальное блюдо),"162,8 кКал","6,2 г","5,1 г","24,7 г",вторые блюда
"Куриное филе, фаршированное грибами","226,2 кКал","13,4 г",19 г,"0,5 г",вторые блюда
Куриные грудки с соусом из грецких орехов,"227,2 кКал","11,8 г","15,6 г","10,6 г",вторые блюда
Куриные колбаски с жареным картофелем,"141,9 кКал","6,4 г","7,8 г","12,3 г",вторые блюда
Курица по-купечески,"127,9 кКал",7 г,"9,9 г","2,8 г",вторые блюда
Курица почти в сметане,"338,8 кКал","7,3 г","33,6 г","1,9 г",вторые блюда
Курица фаршированная (галантин) или поросенок фаршированный,"325,3 кКал","12,5 г","27,6 г","7,1 г",вторые блюда
"Курица, жаренная целиком","133,8 кКал","8,5 г","9,3 г","4,3 г",вторые блюда
"Курица, тушённая с картофелем и помидорами",123 кКал,"5,6 г",9 г,"5,1 г",вторые блюда
Лангет,"381,3 кКал","33,2 г","27,6 г",0 г,вторые блюда
Лук маринованный,"82,2 кКал","1,4 г",5 г,"8,5 г",вторые блюда
Лук порей с грибами,"58,3 кКал","2,4 г","3,6 г","4,3 г",вторые блюда
Лук-порей со свининой,"207,5 кКал",6 г,"15,6 г","11,5 г",вторые блюда
"Лук, жареный во фритюре","239,7 кКал","4,8 г",14 г,"25,3 г",вторые блюда
Луковый клопс,"181,4 кКал","11,4 г","13,3 г","4,2 г",вторые блюда
Люля-кебаб (азербайджанское национальное блюдо),"338,7 кКал","20,1 г","24,6 г","9,9 г",вторые блюда
Макароны с яйцом,"114,9 кКал","3,1 г","7,5 г","9,4 г",вторые блюда
Манты с бараниной (казахское национальное блюдо),"204,9 кКал","11,7 г","10,3 г","17,6 г",вторые блюда
Манты с тыквой,"247,7 кКал",3 г,18 г,"19,7 г",вторые блюда
