,Product,Portion,Category,Kkal,Protein,Fat,Carbs
625,"Торт ""Почти ""Прага""",150,Десерт,351.0,4.2,20.5,39.9
626,"Торт ""Прага""",150,Десерт,283.5,5.9,12.6,39.0
627,"Торт ""Снежная горка""",150,Десерт,150.1,1.0,11.4,11.6
628,"Торт ""Шоколадная мазурка""",150,Десерт,301.5,7.6,7.6,54.0
629,Торт бисквитный с орехами,150,Десерт,355.2,11.4,15.0,46.5
630,Торт Зебра»,150,Десерт,270.8,8.5,12.9,32.0
631,Торт из картофеля с творогом,150,Десерт,169.0,9.1,3.9,25.9
632,Торт из тыквы,150,Десерт,212.5,2.6,14.5,19.0
633,Торт картофельный,150,Десерт,190.5,5.6,5.7,31.2
634,Торт печёночный,150,Десерт,200.0,8.1,14.5,10.0
635,Торт Прага»,150,Десерт,326.5,6.5,17.3,38.7
636,Торт Черный принц»,150,Десерт,14.8,0.2,1.1,1.2
637,Тыква с орехами,150,Десерт,111.4,3.6,0.07,25.8
638,Тыква с ревенем,150,Десерт,51.7,0.8,0.09,12.8
639,Тыква с фруктами,150,Десерт,81.1,1.7,2.4,14.1
640,"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)",150,Десерт,106.8,1.5,3.7,17.9
641,Тыквенный крем,150,Десерт,144.8,4.0,11.2,7.4
642,Фаршированные яблоки,150,Десерт,58.1,3.3,1.9,7.5
643,Фруктовый маседуан,150,Десерт,205.2,0.4,0.1,54.0
644,Холодное из абрикосов,150,Десерт,127.0,1.8,10.8,6.0
645,Чернослив со сливками или сметаной взбитыми,150,Десерт,271.8,2.5,12.6,39.6
646,Шоколадное мороженое,150,Десерт,268.8,4.4,15.8,29.1
647,Шоколадный крем,150,Десерт,272.5,3.8,12.7,38.1
648,Шоколадный пудинг,150,Десерт,192.4,4.5,9.3,24.2
649,Шоколадный соус,150,Десерт,139.9,2.8,7.7,16.0
650,Шульо мелна (блины овсяные - марийское национальное блюдо),150,Десерт,195.4,5.5,10.5,21.0
651,Яблоки в грильяже,150,Десерт,146.1,0.3,2.8,31.9
