,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDon,NumHAcc,pIC50
0,CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,intermediate,311.422,3.3188000000000013,1.0,2.0,5.301029995663981
1,CHEMBL450926,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,intermediate,299.461,3.241200000000002,1.0,3.0,5.568636235841013
2,CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,intermediate,311.422,3.3188000000000013,1.0,2.0,5.7447274948966935
3,CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,inactive,327.87700000000007,3.8331000000000026,1.0,2.0,4.958607314841775
4,CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,inactive,372.32800000000003,3.9422000000000033,1.0,2.0,5.0
5,CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,inactive,244.265,3.6808000000000023,1.0,1.0,3.515700160653214
6,CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,inactive,313.155,4.987600000000002,1.0,1.0,4.1249387366083
7,CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,inactive,313.155,4.987600000000002,1.0,1.0,4.113509274827518
8,CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,inactive,326.41099999999994,5.728500000000004,1.0,1.0,4.6777807052660805
9,CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,inactive,312.26199999999994,4.699600000000003,1.0,1.0,3.8894102897007508
10,CHEMBL194274,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,inactive,300.35400000000004,4.895500000000003,1.0,2.0,4.080921907623926
11,CHEMBL196321,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,inactive,274.29099999999994,3.689400000000002,1.0,2.0,4.173925197299173
12,CHEMBL196322,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,inactive,288.27399999999994,3.4095000000000013,1.0,3.0,3.677780705266081
13,CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,inactive,342.41,5.392300000000004,1.0,2.0,4.3872161432802645
14,CHEMBL197202,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,inactive,336.362,5.053400000000004,2.0,2.0,4.455931955649724
15,CHEMBL194760,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1,intermediate,256.276,3.608900000000003,1.0,1.0,
16,CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,inactive,324.2730000000001,4.627700000000002,1.0,1.0,3.9546770212133424
17,CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,active,325.1660000000001,4.915700000000002,1.0,1.0,4.3872161432802645
18,CHEMBL196946,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,active,312.3650000000001,4.823600000000002,1.0,2.0,4.016373712875465
19,CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,intermediate,366.4760000000001,6.292700000000005,1.0,1.0,4.337242168318426
20,CHEMBL194692,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,active,326.289,4.873700000000003,1.0,1.0,4.151195298948196
21,CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,active,348.3730000000001,4.981500000000002,2.0,2.0,4.500312917381596
22,CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,active,366.3630000000001,5.120600000000003,2.0,2.0,4.4736607226101555
23,CHEMBL427548,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,active,368.3540000000001,5.554100000000003,1.0,1.0,4.2373214362725635
24,CHEMBL197140,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,active,410.5290000000002,6.592600000000005,1.0,2.0,4.958607314841775
25,CHEMBL382721,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,active,356.3930000000001,4.166700000000004,1.0,3.0,4.0915149811213505
26,CHEMBL436483,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,active,422.4180000000002,6.108800000000004,1.0,2.0,4.752026733638194
27,CHEMBL196070,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,active,336.292,4.176400000000002,1.0,3.0,3.9430951486635273
28,CHEMBL193900,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,active,312.171,4.388300000000002,1.0,1.0,4.1938200260161125
29,CHEMBL194020,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,active,369.26300000000003,6.2447000000000035,0.0,2.0,4.698970004336019
30,CHEMBL190083,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,active,244.265,3.6808000000000023,1.0,1.0,3.5528419686577806
31,CHEMBL200116,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,intermediate,622.8510000000003,4.937600000000004,4.0,5.0,5.173925197299173
32,CHEMBL199946,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,active,655.8840000000001,5.1006000000000045,4.0,5.0,8.2839966563652
